Sido,Sigun,id,moon,hong,ahn,yoo,shim,etc,1st,1st_C,2nd,2nd_C,gap,final
강원,횡성군,42730,0.302,0.356,0.221,0.057,0.055,0.009,0.356,Hong,0.302,Moon,0.054,-0.356
강원,영월군,42750,0.313,0.34,0.223,0.059,0.055,0.009,0.34,Hong,0.313,Moon,0.028,-0.34
강원,평창군,42760,0.315,0.343,0.22,0.057,0.058,0.008,0.343,Hong,0.315,Moon,0.028,-0.343
강원,정선군,42770,0.349,0.351,0.189,0.049,0.051,0.01,0.351,Hong,0.349,Moon,0.002,-0.351
충북,철원군,42780,0.312,0.293,0.246,0.077,0.064,0.008,0.312,Moon,0.293,Hong,0.019,0.312
강원,화천군,42790,0.306,0.297,0.237,0.085,0.066,0.009,0.306,Moon,0.297,Hong,0.008,0.306
강원,양구군,42800,0.308,0.289,0.24,0.088,0.064,0.011,0.308,Moon,0.289,Hong,0.019,0.308
강원,인제군,42810,0.32,0.293,0.232,0.081,0.064,0.011,0.32,Moon,0.293,Hong,0.028,0.32
강원,고성군,42820,0.306,0.352,0.214,0.067,0.053,0.009,0.352,Hong,0.306,Moon,0.046,-0.352
강원,양양군,42830,0.283,0.377,0.218,0.059,0.054,0.009,0.377,Hong,0.283,Moon,0.094,-0.377
충북,청주시상당구,43111,0.4,0.256,0.208,0.061,0.069,0.006,0.4,Moon,0.256,Hong,0.144,0.4
충북,청주시서원구,43112,0.42,0.227,0.215,0.063,0.07,0.005,0.42,Moon,0.227,Hong,0.194,0.42
충북,청주시흥덕구,43113,0.435,0.204,0.215,0.065,0.076,0.005,0.435,Moon,0.215,Ahn,0.22,0.435
충북,청주시청원구,43114,0.439,0.209,0.211,0.063,0.072,0.005,0.439,Moon,0.211,Ahn,0.229,0.439
충북,충주시,43130,0.344,0.304,0.225,0.057,0.064,0.006,0.344,Moon,0.304,Hong,0.04,0.344
충북,제천시,43150,0.339,0.32,0.211,0.06,0.062,0.007,0.339,Moon,0.32,Hong,0.018,0.339
충북,보은군,43720,0.328,0.342,0.221,0.046,0.051,0.012,0.342,Hong,0.328,Moon,0.014,-0.342
충북,옥천군,43730,0.339,0.317,0.227,0.047,0.058,0.012,0.339,Moon,0.317,Hong,0.023,0.339
충북,영동군,43740,0.323,0.339,0.217,0.053,0.058,0.01,0.339,Hong,0.323,Moon,0.016,-0.339
충북,증평군,43745,0.375,0.259,0.237,0.055,0.067,0.007,0.375,Moon,0.259,Hong,0.116,0.375
충북,진천군,43750,0.386,0.25,0.231,0.055,0.071,0.007,0.386,Moon,0.25,Hong,0.136,0.386
충북,괴산군,43760,0.307,0.368,0.227,0.041,0.047,0.011,0.368,Hong,0.307,Moon,0.061,-0.368
충북,음성군,43770,0.367,0.269,0.237,0.053,0.065,0.008,0.367,Moon,0.269,Hong,0.098,0.367
충북,단양군,43800,0.289,0.399,0.204,0.049,0.049,0.01,0.399,Hong,0.289,Moon,0.111,-0.399
충남,천안시동남구,44131,0.397,0.232,0.232,0.06,0.074,0.005,0.397,Moon,0.232,Ahn,0.165,0.397
충남,천안시서북구,44133,0.445,0.176,0.226,0.069,0.078,0.004,0.445,Moon,0.226,Ahn,0.219,0.445
충남,공주시,44150,0.376,0.277,0.237,0.044,0.058,0.008,0.376,Moon,0.277,Hong,0.099,0.376
충남,보령시,44180,0.331,0.312,0.247,0.045,0.057,0.007,0.331,Moon,0.312,Hong,0.02,0.331
충남,아산시,44200,0.425,0.212,0.222,0.059,0.077,0.005,0.425,Moon,0.222,Ahn,0.203,0.425
충남,서산시,44210,0.38,0.25,0.236,0.056,0.071,0.007,0.38,Moon,0.25,Hong,0.13,0.38
충남,논산시,44230,0.392,0.235,0.262,0.049,0.054,0.008,0.392,Moon,0.262,Ahn,0.131,0.392
충남,계룡시,44250,0.362,0.237,0.254,0.084,0.057,0.006,0.362,Moon,0.254,Ahn,0.108,0.362
충남,당진시,44270,0.392,0.248,0.22,0.052,0.08,0.008,0.392,Moon,0.248,Hong,0.143,0.392
충남,금산군,44710,0.342,0.288,0.269,0.04,0.051,0.01,0.342,Moon,0.288,Hong,0.054,0.342
충남,부여군,44760,0.314,0.32,0.256,0.044,0.055,0.011,0.32,Hong,0.314,Moon,0.006,-0.32
충남,서천군,44770,0.362,0.285,0.252,0.045,0.047,0.008,0.362,Moon,0.285,Hong,0.077,0.362
충남,청양군,44790,0.301,0.346,0.25,0.04,0.053,0.01,0.346,Hong,0.301,Moon,0.045,-0.346
충남,홍성군,44800,0.354,0.281,0.24,0.053,0.065,0.007,0.354,Moon,0.281,Hong,0.073,0.354
충남,예산군,44810,0.281,0.383,0.228,0.047,0.055,0.007,0.383,Hong,0.281,Moon,0.102,-0.383
충남,태안군,44825,0.335,0.329,0.232,0.042,0.054,0.007,0.335,Moon,0.329,Hong,0.006,0.335
전북,전주시완산구,45111,0.669,0.03,0.214,0.03,0.054,0.004,0.669,Moon,0.214,Ahn,0.455,0.669
전북,전주시덕진구,45113,0.669,0.028,0.214,0.028,0.057,0.003,0.669,Moon,0.214,Ahn,0.455,0.669
전북,군산시,45130,0.637,0.037,0.247,0.027,0.049,0.004,0.637,Moon,0.247,Ahn,0.39,0.637
전북,익산시,45140,0.645,0.034,0.239,0.028,0.05,0.005,0.645,Moon,0.239,Ahn,0.406,0.645
전북,정읍시,45180,0.626,0.03,0.274,0.02,0.042,0.007,0.626,Moon,0.274,Ahn,0.352,0.626
전북,남원시,45190,0.645,0.035,0.252,0.02,0.04,0.008,0.645,Moon,0.252,Ahn,0.394,0.645
전북,김제시,45210,0.623,0.036,0.276,0.021,0.039,0.005,0.623,Moon,0.276,Ahn,0.347,0.623
전북,완주군,45710,0.66,0.034,0.223,0.024,0.053,0.006,0.66,Moon,0.223,Ahn,0.436,0.66
전북,진안군,45720,0.662,0.045,0.217,0.022,0.045,0.009,0.662,Moon,0.217,Ahn,0.445,0.662
전북,무주군,45730,0.614,0.072,0.236,0.026,0.043,0.009,0.614,Moon,0.236,Ahn,0.377,0.614
전북,장수군,45740,0.671,0.045,0.21,0.021,0.043,0.01,0.671,Moon,0.21,Ahn,0.461,0.671
전북,임실군,45750,0.637,0.038,0.248,0.02,0.045,0.012,0.637,Moon,0.248,Ahn,0.39,0.637
